style_id,style_name,season,gender,category,item,detail1,detail2,detail3,detail4,detail5,detail6,detail7,detail8,detail9,detail10,match_style_id,color_code,total_order_qty,total_order_tag
VDDJ35965,엘베지아 미드,26F,women,DOWN,,carryover,semi-matte,TX1,middle,,medium,,800fp,horizontal,,VDDJ35956,BKS,500,595000000
VDDJ35766,엘베지아,26F,women,DOWN,,carryover,semi-matte,TX1,long,,medium,,800fp,horizontal,,VDDJ35756,IVD,200,258000000
VDDJ35766,엘베지아,26F,women,DOWN,,carryover,semi-matte,TX1,long,,medium,,800fp,horizontal,,VDDJ35756,BKS,400,516000000
VDDJ10566,코르티나 N,26F,women,DOWN,,new,matte,TX2,long,,medium,,700fp,nonquilting,,,IVD,150,238500000
VDDJ10566,코르티나 N,26F,women,DOWN,,new,matte,TX2,long,,medium,,700fp,nonquilting,,,BKS,250,397500000
VDDJ15166,디아데마 N 체크,26F,women,DOWN,,new,matte,TX2,short,,heavy,,800fp,horizontal,,,BRD,200,238000000
VDDJ25166,디아데마 N,26F,women,DOWN,,new,matte,TX2,short,,heavy,,700fp,horizontal,,,INS,200,238000000
VDDJ25266,디아데마 N,26F,women,DOWN,,new,semi-shiny,TX2,short,,heavy,,700fp,horizontal,,,WHL,200,238000000
VDDJ37166,알로로,26F,women,DOWN,,carryover,shiny,TX1,middle,,heavy,,800fp,horizontal,,VDDJ31756,MTL,200,258000000
VDDJ37166,알로로,26F,women,DOWN,,carryover,shiny,TX1,middle,,heavy,,800fp,horizontal,,VDDJ31756,BRD,400,516000000
VDDJ37166,알로로,26F,women,DOWN,,carryover,shiny,TX1,middle,,heavy,,800fp,horizontal,,VDDJ31756,BKS,1000,1290000000
VDDJ37366,알로로 벨벳,26F,women,DOWN,,carryover,semi-shiny,TX2,middle,,heavy,,800fp,horizontal,,VDDJ31656,BKL,3000,4170000000
VDDJ31666,알로로 사틴,26F,women,DOWN,,new,semi-matte,TX2,middle,,heavy,,800fp,horizontal,,,CRS,320,444800000
VDDJ31666,알로로 사틴,26F,women,DOWN,,new,semi-matte,TX2,middle,,heavy,,800fp,horizontal,,,BKL,510,708900000
VDDJ31766,알로로 무광,26F,women,DOWN,,new,soft-matte,TX1,middle,,heavy,,800fp,horizontal,,,IVS,200,258000000
VDDJ31766,알로로 무광,26F,women,DOWN,,new,soft-matte,TX1,middle,,heavy,,800fp,horizontal,,,BLS,200,258000000
VDDJ31766,알로로 무광,26F,women,DOWN,,new,soft-matte,TX1,middle,,heavy,,800fp,horizontal,,,CAS,390,503100000
VDDJ37666,알로로 체크,26F,women,DOWN,,new,matte,TX2,middle,,heavy,,800fp,horizontal,,,BRD,300,447000000
